,movie,year,imdb,metascore,votes,n_imdb
126,American Made,2017,7.2,65,161110,72.0
127,Molly's Game,2017,7.4,71,148401,74.0
128,Wonder,2017,8.0,66,145684,80.0
129,The Disaster Artist,2017,7.4,76,140542,74.0
130,The Post,2017,7.2,83,138743,72.0
131,Transformers: The Last Knight,2017,5.2,27,137440,52.0
132,Logan Lucky,2017,7.0,78,133855,70.0
133,The Lego Batman Movie,2017,7.3,75,132724,73.0
134,The Dark Tower,2017,5.6,34,129719,56.0
135,The Killing of a Sacred Deer,2017,7.0,73,127912,70.0
136,The Big Sick,2017,7.5,86,122992,75.0
137,Happy Death Day,2017,6.6,58,119386,66.0
138,Despicable Me 3,2017,6.3,49,116200,63.0
139,T2 Trainspotting,2017,7.2,67,115518,72.0
140,Phantom Thread,2017,7.5,90,114895,75.0
141,Annabelle: Creation,2017,6.5,62,114445,65.0
142,The Boss Baby,2017,6.3,50,110506,63.0
143,What Happened to Monday,2017,6.9,47,109190,69.0
144,Okja,2017,7.3,75,107654,73.0
145,You Were Never Really Here,2017,6.8,84,106997,68.0
146,The Foreigner,2017,7.0,55,104229,70.0
147,Power Rangers,2017,5.9,44,102637,59.0
148,Gifted,2017,7.6,60,102114,76.0
149,Downsizing,2017,5.7,63,100405,57.0
150,The Florida Project,2017,7.6,92,97642,76.0
151,Geostorm,2017,5.3,21,96735,53.0
152,Good Time,2017,7.4,80,95011,74.0
153,Fifty Shades Darker,2017,4.6,33,93272,46.0
154,Gerald's Game,2017,6.5,77,92082,65.0
155,The Death of Stalin,2017,7.2,88,89442,72.0
156,xXx: Return of Xander Cage,2017,5.2,42,86394,52.0
157,The Circle,2017,5.4,43,85862,54.0
158,It Comes at Night,2017,6.2,78,85299,62.0
159,The Ritual,2017,6.3,57,80100,63.0
160,Cars 3,2017,6.7,59,78964,67.0
161,Going in Style,2017,6.6,50,77898,66.0
162,Death Note,2017,4.5,43,77577,45.0
163,All the Money in the World,2017,6.8,72,76994,68.0
